N,MAE,RMSE,MAPE,R2,High_Corr_Pairs
3,949.2537506709485,1201.9581372409086,1.9192780911884568,0.9969439789564726,3
5,897.6447494600746,1155.9487097806248,1.813113741378742,0.9971734622789569,10
7,896.9487331449906,1156.24276122704,1.8161503891712394,0.9971720240607863,21
10,767.7911976189696,1095.2291028907364,1.5375226802346473,0.997462607758791,45
12,761.6135662307424,1093.0225684348363,1.524022434326011,0.9974728215185588,66
15,762.1757783762324,1101.2714199940729,1.5146692371553347,0.9974345332296599,105
20,762.9083184648791,1105.2138355343059,1.5172285146985298,0.9974161322441122,190
25,761.7205464476467,1105.0389255976775,1.5147511507265554,0.9974169500195849,300
30,792.366142631756,1306.472121927127,1.538673504691206,0.9963894118664701,316
35,816.742541389214,1334.2129493577615,1.5912445966529465,0.9962344539824318,317
40,797.2979441377931,1298.8551935641437,1.5828713895224573,0.9964313896806172,317
45,748.5627423257365,1214.3850149162827,1.5237969446486568,0.9968804607407905,318
50,753.9222458710485,1209.4672731840353,1.5464411040302597,0.9969056751921838,321
55,761.9569892861581,1215.1636292613023,1.56673895805869,0.9968764592146699,327
60,765.2208310958575,1220.0286931829125,1.5757127303367584,0.9968513981525416,332
