# Optimal Features for Bitcoin Price Prediction
# Total: 14 features
# Ranked by target correlation

1. close                          (target_corr:  0.9995)
2. volume                         (target_corr:  0.6493)
3. MACDs_12_26_9                  (target_corr:  0.3725)
4. ADOSC_3_10                     (target_corr:  0.2429)
5. DMP_14                         (target_corr: -0.1429)
6. AROONU_25                      (target_corr:  0.0859)
7. NATR_14                        (target_corr:  0.0750)
8. CMF_20                         (target_corr: -0.0746)
9. ADX_14                         (target_corr: -0.0456)
10. BBB_20_2.0                     (target_corr: -0.0446)
11. STOCHd_14_3_3                  (target_corr:  0.0319)
12. MACDh_12_26_9                  (target_corr: -0.0168)
13. ROC_10                         (target_corr:  0.0113)
14. MFI_14                         (target_corr: -0.0102)
